
Instruction,Input,Output
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""find red adidas t-shirts under Rs. 2000""","{ ""prompt"":""find red adidas t-shirts under Rs. 2000"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""T-Shirts"", ""brand_name"":""Adidas"", ""price_min"": ""0"", ""price_max"": ""2000"", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""red"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""show me green nike shorts under Rs. 1200""","{ ""prompt"":""show me green nike shorts under Rs. 1200"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Shorts"", ""brand_name"":""Nike"", ""price_min"": ""0"", ""price_max"": ""1200"", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""green"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""find white puma sneakers above Rs. 2500""","{ ""prompt"":""find white puma sneakers above Rs. 2500"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Sneakers"", ""brand_name"":""Puma"", ""price_min"": ""2500"", ""price_max"": """", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""white"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""show me yellow reebok hoodies under Rs. 1800""","{ ""prompt"":""show me yellow reebok hoodies under Rs. 1800"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Hoodies"", ""brand_name"":""Reebok"", ""price_min"": ""0"", ""price_max"": ""1800"", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""yellow"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""find black nike caps above Rs. 600""","{ ""prompt"":""find black nike caps above Rs. 600"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Caps"", ""brand_name"":""Nike"", ""price_min"": ""600"", ""price_max"": """", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""black"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""show me orange adidas tracksuits under Rs. 2200""","{ ""prompt"":""show me orange adidas tracksuits under Rs. 2200"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Tracksuits"", ""brand_name"":""Adidas"", ""price_min"": ""0"", ""price_max"": ""2200"", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""orange"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""find purple puma leggings above Rs. 1700""","{ ""prompt"":""find purple puma leggings above Rs. 1700"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Leggings"", ""brand_name"":""Puma"", ""price_min"": ""1700"", ""price_max"": """", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""purple"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""show me blue levi's jeans under Rs. 3000""","{ ""prompt"":""show me blue levi""s jeans under Rs. 3000"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Jeans"", ""brand_name"":""Levi""s"", ""price_min"": ""0"", ""price_max"": ""3000"", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""blue"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""find pink reebok tank tops above Rs. 1500""","{ ""prompt"":""find pink reebok tank tops above Rs. 1500"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Tank Tops"", ""brand_name"":""Reebok"", ""price_min"": ""1500"", ""price_max"": """", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""pink"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""show me grey nike running shoes under Rs. 2500""","{ ""prompt"":""show me grey nike running shoes under Rs. 2500"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Running Shoes"", ""brand_name"":""Nike"", ""price_min"": ""0"", ""price_max"": ""2500"", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""grey"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""find red puma sports bras above Rs. 1000""","{ ""prompt"":""find red puma sports bras above Rs. 1000"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Sports Bras"", ""brand_name"":""Puma"", ""price_min"": ""1000"", ""price_max"": """", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""red"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""show me white adidas sweatpants under Rs. 2000""","{ ""prompt"":""show me white adidas sweatpants under Rs. 2000"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Sweatpants"", ""brand_name"":""Adidas"", ""price_min"": ""0"", ""price_max"": ""2000"", ""provider_name"": """", ""query_entity_type"": ""product"",""color"":""white"",""size"":""""} }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""find yellow puma t-shirts above Rs. 600""","{ ""prompt"":""find yellow puma t-shirts above Rs. 600"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""T-Shirts"", ""brand_name"":""Puma"", ""price_min"": ""600"", ""price_max"": """", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""yellow"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""show me blue levi's jackets under Rs. 4000""","{ ""prompt"":""show me blue levi""s jackets under Rs. 4000"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Jackets"", ""brand_name"":""Levi""s"", ""price_min"": ""0"", ""price_max"": ""4000"", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""blue"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""find green nike hoodies above Rs. 3000""","{ ""prompt"":""find green nike hoodies above Rs. 3000"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Hoodies"", ""brand_name"":""Nike"", ""price_min"": ""3000"", ""price_max"": """", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""green"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""show me white adidas sweatpants under Rs. 2000""","{ ""prompt"":""show me white adidas sweatpants under Rs. 2000"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Sweatpants"", ""brand_name"":""Adidas"", ""price_min"": ""0"", ""price_max"": ""2000"", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""white"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""find red puma sports bras above Rs. 1000""","{ ""prompt"":""find red puma sports bras above Rs. 1000"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Sports Bras"", ""brand_name"":""Puma"", ""price_min"": ""1000"", ""price_max"": """", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""red"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""find pink reebok tank tops above Rs. 1500""","{ ""prompt"":""find pink reebok tank tops above Rs. 1500"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Tank Tops"", ""brand_name"":""Reebok"", ""price_min"": ""1500"", ""price_max"": """", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""pink"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""show me blue levi's jeans under Rs. 3000""","{ ""prompt"":""show me blue levi""s jeans under Rs. 3000"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Jeans"", ""brand_name"":""Levi""s"", ""price_min"": ""0"", ""price_max"": ""3000"", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""blue"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""find purple puma leggings above Rs. 1700""","{ ""prompt"":""find purple puma leggings above Rs. 1700"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Leggings"", ""brand_name"":""Puma"", ""price_min"": ""1700"", ""price_max"": """", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""purple"", ""size"": """" } }"
You are an assistant which can extract key value in json format from a query text. Please create a json block for this input query text. Please do not add any explanation and show only json,"""show me orange adidas tracksuits under Rs. 2200""","{ ""prompt"":""show me orange adidas tracksuits under Rs. 2200"", ""action_intent"": ""search"", ""filters"": { ""category_name"":""Tracksuits"", ""brand_name"":""Adidas"", ""price_min"": ""0"", ""price_max"": ""2200"", ""provider_name"": """", ""query_entity_type"": ""product"", ""colour"": ""orange"", ""size"": """" } }"
